Frame_Index,X,Y,Radius
0,142,717,148
1,142,717,147
2,142,717,148
3,142,717,148
4,142,717,148
5,142,717,148
6,142,717,149
7,143,719,148
8,144,721,148
9,145,721,146
10,145,722,147
11,145,720,147
12,145,718,148
13,146,718,147
14,145,716,147
15,145,715,148
16,147,713,148
17,148,712,148
18,150,712,148
19,151,714,149
20,152,713,149
21,152,712,149
22,153,713,148
23,155,715,148
24,161,713,148
25,173,710,148
26,190,708,148
27,211,707,146
28,233,706,145
29,256,706,144
30,280,707,143
31,304,708,141
32,329,709,142
33,348,710,142
34,361,711,142
35,367,713,142
36,367,714,141
37,361,716,141
38,356,716,142
39,352,714,142
40,352,711,142
41,355,708,141
42,360,705,142
43,367,702,142
44,382,702,141
45,400,703,143
46,423,703,142
47,448,704,141
48,468,705,140
49,485,704,140
50,499,704,140
51,511,702,139
52,523,700,138
53,534,699,138
54,543,698,137
55,551,698,136
56,558,702,136
57,564,704,135
58,567,707,135
59,569,709,135
60,569,711,135
61,570,710,136
62,572,707,136
63,572,704,136
64,569,702,136
65,562,702,135
66,552,704,135
67,542,708,135
68,532,711,135
69,525,716,137
70,516,717,137
71,508,716,137
72,500,715,136
73,493,713,136
74,487,713,136
75,482,714,136
76,480,715,136
77,480,716,137
78,480,716,137
79,480,716,136
80,482,716,136
81,488,717,136
82,496,718,136
83,506,719,136
84,516,721,136
85,523,722,136
86,531,723,136
87,539,723,138
88,545,723,137
89,550,725,138
90,554,724,137
91,556,725,136
92,556,725,136
93,555,726,136
94,552,727,136
95,546,727,136
96,538,728,136
97,528,728,136
98,520,727,136
99,513,726,136
100,511,725,137
101,511,726,137
102,513,727,138
103,516,728,137
104,519,729,136
105,523,728,137
106,527,729,136
107,532,729,138
108,538,730,137
109,543,731,136
110,546,731,135
111,548,731,134
112,550,731,133
113,551,730,132
114,551,730,132
115,549,731,132
116,547,730,132
117,544,730,132
118,538,729,133
119,531,729,132
120,523,728,132
121,516,728,131
122,509,727,131
123,502,726,131
124,495,724,131
125,489,724,131
126,482,723,130
127,475,723,129
128,470,721,131
129,467,722,129
130,466,720,131
131,465,718,132
132,463,717,131
133,462,719,129
134,459,718,128
135,459,719,128
136,457,718,128
137,455,718,127
138,453,718,131
139,451,717,131
140,450,716,130
141,447,714,130
142,444,714,129
143,442,713,129
144,440,712,128
145,438,712,128
146,436,711,128
147,435,711,129
148,433,711,129
149,429,711,129
150,425,711,129
151,421,711,130
152,415,709,131
153,414,709,131
154,411,708,131
155,408,707,130
156,405,705,130
157,405,703,131
158,404,703,131
159,403,703,131
160,403,702,131
161,404,702,130
162,408,702,131
163,411,701,131
164,414,699,131
165,416,699,130
166,418,698,130
167,419,698,130
168,419,696,132
169,420,693,133
170,422,693,131
171,423,693,130
172,423,694,129
173,424,695,129
174,424,693,130
175,427,693,130
176,430,693,130
177,431,693,130
178,431,693,129
179,429,692,129
180,427,690,129
181,425,689,130
182,423,688,129
183,422,687,129
184,421,686,130
185,422,685,129
186,423,684,128
187,423,683,129
188,423,683,129
189,423,682,129
190,423,681,129
191,425,681,129
192,428,680,129
193,434,681,130
194,437,681,129
195,440,680,129
196,444,678,130
197,449,678,129
198,455,676,130
199,463,677,130
200,471,678,129
201,480,677,130
202,487,678,129
203,494,678,128
204,501,679,128
205,507,679,128
206,515,679,127
207,523,680,127
208,530,680,126
209,539,678,128
210,545,678,127
211,550,678,127
212,554,678,126
213,558,677,126
214,563,677,126
215,567,677,126
216,568,675,127
217,570,675,127
218,570,674,127
219,567,672,126
220,563,670,126
221,560,668,127
222,558,668,126
223,558,668,126
224,556,667,126
225,555,667,125
226,553,667,124
227,552,666,124
